Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
Wilmette,Village,"28,170",5.403,13.99,"5,213.8/sq mi (2,013.0/km2)"
Huntley,Village,"27,740",14.289,37.01,"1,941.4/sq mi (749.6/km2)"
Granite City,City,"27,549",19.024,49.27,"1,448.1/sq mi (559.1/km2)"
Chicago Heights,City,"27,480",10.283,26.63,"2,672.4/sq mi (1,031.8/km2)"
Oak Forest,City,"27,478",6.021,15.59,"4,563.7/sq mi (1,762.1/km2)"
Round Lake Beach,Village,"27,252",5.044,13.06,"5,402.9/sq mi (2,086.1/km2)"
New Lenox,Village,"27,214",15.722,40.72,"1,731.0/sq mi (668.3/km2)"
McHenry,City,"27,135",14.499,37.55,"1,871.5/sq mi (722.6/km2)"
Vernon Hills,Village,"26,850",7.741,20.05,"3,468.5/sq mi (1,339.2/km2)"
Edwardsville,City,"26,808",19.811,51.31,"1,353.2/sq mi (522.5/km2)"
Batavia,City,"26,098",10.616,27.5,"2,458.4/sq mi (949.2/km2)"
Lockport,City,"26,094",11.53,29.86,"2,263.1/sq mi (873.8/km2)"
Alton,City,"25,676",15.681,40.61,"1,637.4/sq mi (632.2/km2)"
Woodstock,City,"25,630",13.187,34.15,"1,943.6/sq mi (750.4/km2)"
West Chicago,City,"25,614",15.376,39.82,"1,665.8/sq mi (643.2/km2)"
Belvidere,City,"25,339",12.064,31.25,"2,100.4/sq mi (811.0/km2)"
Morton Grove,Village,"25,297",5.088,13.18,"4,971.9/sq mi (1,919.7/km2)"
Melrose Park,Village,"24,796",4.353,11.27,"5,696.3/sq mi (2,199.4/km2)"
Zion,City,"24,655",9.904,25.65,"2,489.4/sq mi (961.2/km2)"
Homer Glen,Village,"24,543",22.125,57.3,"1,109.3/sq mi (428.3/km2)"
Elmwood Park,Village,"24,521",1.908,4.94,"12,851.7/sq mi (4,962.1/km2)"
Westmont,Village,"24,429",5.004,12.96,"4,881.9/sq mi (1,884.9/km2)"
Collinsville,City,"24,366",15.077,39.05,"1,616.1/sq mi (624.0/km2)"
Lisle,Village,"24,223",6.901,17.87,"3,510.1/sq mi (1,355.2/km2)"
Rolling Meadows,City,"24,200",5.616,14.55,"4,309.1/sq mi (1,663.8/km2)"
Kankakee,City,"24,052",15.057,39,"1,597.4/sq mi (616.8/km2)"
Freeport,City,"23,973",11.881,30.77,"2,017.8/sq mi (779.1/km2)"
South Elgin,Village,"23,865",7.06,18.29,"3,380.3/sq mi (1,305.1/km2)"
Maywood,Village,"23,512",2.717,7.04,"8,653.7/sq mi (3,341.2/km2)"
Loves Park,City,"23,397",16.325,42.28,"1,433.2/sq mi (553.4/km2)"
Machesney Park,Village,"22,950",12.685,32.85,"1,809.2/sq mi (698.5/km2)"
Roselle,Village,"22,897",5.537,14.34,"4,135.3/sq mi (1,596.6/km2)"
Blue Island,City,"22,558",4.071,10.54,"5,541.1/sq mi (2,139.4/km2)"
East Peoria,City,"22,484",20.411,52.86,"1,101.6/sq mi (425.3/km2)"
Bloomingdale,Village,"22,382",6.766,17.52,"3,308.0/sq mi (1,277.2/km2)"
Villa Park,Village,"22,263",4.723,12.23,"4,713.7/sq mi (1,820.0/km2)"
Darien,City,"22,011",6.171,15.98,"3,566.8/sq mi (1,377.2/km2)"
Carbondale,City,"21,857",17.397,45.06,"1,256.4/sq mi (485.1/km2)"
Park Forest,Village,"21,687",4.961,12.85,"4,371.5/sq mi (1,687.8/km2)"
