Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
Posen,Village,"5,632",1.169,3.03,"4,817.8/sq mi (1,860.2/km2)"
Lake Bluff,Village,"5,616",4.075,10.55,"1,378.2/sq mi (532.1/km2)"
Spring Valley,City,"5,582",7.356,19.05,758.8/sq mi (293.0/km2)
Spring Grove,Village,"5,487",9.046,23.43,606.6/sq mi (234.2/km2)
Berkeley,Village,"5,338",1.402,3.63,"3,807.4/sq mi (1,470.1/km2)"
Genoa,City,"5,298",2.59,6.71,"2,045.6/sq mi (789.8/km2)"
Eureka,City,"5,227",2.684,6.95,"1,947.5/sq mi (751.9/km2)"
Pana,City,"5,199",3.855,9.98,"1,348.6/sq mi (520.7/km2)"
Monee,Village,"5,128",4.472,11.58,"1,146.7/sq mi (442.7/km2)"
Lake Barrington,Village,"5,100",5.736,14.86,889.1/sq mi (343.3/km2)
Milan,Village,"5,097",6.254,16.2,815.0/sq mi (314.7/km2)
South Barrington,Village,"5,077",7.427,19.24,683.6/sq mi (263.9/km2)
Highwood,City,"5,074",0.721,1.87,"7,037.4/sq mi (2,717.2/km2)"
Pinckneyville,City,"5,066",4.106,10.63,"1,233.8/sq mi (476.4/km2)"
Staunton,City,"5,054",3.974,10.29,"1,271.8/sq mi (491.0/km2)"
Poplar Grove,Village,"5,049",7.663,19.85,658.9/sq mi (254.4/km2)
Colona,City,"5,045",3.818,9.89,"1,321.4/sq mi (510.2/km2)"
Creve Coeur,Village,"4,934",4.231,10.96,"1,166.2/sq mi (450.3/km2)"
Hoopeston,City,"4,915",3.686,9.55,"1,333.4/sq mi (514.8/km2)"
Palos Park,Village,"4,899",6.445,16.69,760.1/sq mi (293.5/km2)
Fairfield,City,"4,883",4.028,10.43,"1,212.3/sq mi (468.1/km2)"
Carmi,City,"4,865",2.589,6.71,"1,879.1/sq mi (725.5/km2)"
Marseilles,City,"4,845",9.08,23.52,533.6/sq mi (206.0/km2)
Flora,City,"4,803",4.69,12.15,"1,024.1/sq mi (395.4/km2)"
Olympia Fields,Village,"4,718",2.939,7.61,"1,605.3/sq mi (619.8/km2)"
Beecher,Village,"4,713",2.728,7.07,"1,727.6/sq mi (667.0/km2)"
Fox River Grove,Village,"4,702",1.711,4.43,"2,748.1/sq mi (1,061.0/km2)"
Lebanon,City,"4,691",2.695,6.98,"1,740.6/sq mi (672.1/km2)"
Watseka,City,"4,679",2.944,7.62,"1,589.3/sq mi (613.6/km2)"
Shelbyville,City,"4,674",4.076,10.56,"1,146.7/sq mi (442.7/km2)"
Sherman,Village,"4,673",3.127,8.1,"1,494.4/sq mi (577.0/km2)"
Breese,City,"4,641",2.669,6.91,"1,738.9/sq mi (671.4/km2)"
Tuscola,City,"4,636",2.878,7.45,"1,610.8/sq mi (621.9/km2)"
Robbins,Village,"4,629",1.449,3.75,"3,194.6/sq mi (1,233.4/km2)"
Freeburg,Village,"4,582",6.836,17.71,670.3/sq mi (258.8/km2)
Stone Park,Village,"4,576",0.344,0.89,"13,302.3/sq mi (5,136.1/km2)"
Auburn,City,"4,574",4.124,10.68,"1,109.1/sq mi (428.2/km2)"
Paxton,City,"4,450",3.036,7.86,"1,465.7/sq mi (565.9/km2)"
Sullivan,City,"4,413",2.769,7.17,"1,593.7/sq mi (615.3/km2)"
Caseyville,Village,"4,400",7.266,18.82,605.6/sq mi (233.8/km2)
Cortland,Town,"4,398",3.649,9.45,"1,205.3/sq mi (465.4/km2)"
Hometown,City,"4,343",0.479,1.24,"9,066.8/sq mi (3,500.7/km2)"
Anna,City,"4,303",3.558,9.22,"1,209.4/sq mi (466.9/km2)"
Lakewood,Village,"4,283",4.587,11.88,933.7/sq mi (360.5/km2)
West Peoria,City,"4,263",2.106,5.45,"2,024.2/sq mi (781.6/km2)"
Centreville[a],City,"4,232",4.167,10.79,"1,015.6/sq mi (392.1/km2)"
Pittsfield,City,"4,206",4.782,12.39,879.5/sq mi (339.6/km2)
Lawrenceville,City,"4,164",2.164,5.6,"1,924.2/sq mi (742.9/km2)"
Peotone,Village,"4,150",2.001,5.18,"2,074.0/sq mi (800.8/km2)"
Green Oaks,Village,"4,128",3.985,10.32,"1,035.9/sq mi (400.0/km2)"
Barrington Hills,Village,"4,114",27.004,69.94,152.3/sq mi (58.8/km2)
Sparta,City,"4,095",11.17,28.93,366.6/sq mi (141.5/km2)
Kildeer,Village,"4,091",4.23,10.96,967.1/sq mi (373.4/km2)
Morrison,City,"4,085",2.518,6.52,"1,622.3/sq mi (626.4/km2)"
Millstadt,Village,"4,071",3.491,9.04,"1,166.1/sq mi (450.2/km2)"
Indian Head Park,Village,"4,065",0.93,2.41,"4,371.0/sq mi (1,687.6/km2)"
Burnham,Village,"4,046",1.855,4.8,"2,181.1/sq mi (842.1/km2)"
Dwight,Village,"4,032",3.297,8.54,"1,222.9/sq mi (472.2/km2)"
South Chicago Heights,Village,"4,026",1.581,4.09,"2,546.5/sq mi (983.2/km2)"
Smithton,Village,"4,006",4.435,11.49,903.3/sq mi (348.8/km2)
Dupo,Village,"3,996",6.377,16.52,626.6/sq mi (241.9/km2)
Wonder Lake,Village,"3,973",4.964,12.86,800.4/sq mi (309.0/km2)
Rosemont,Village,"3,952",1.792,4.64,"2,205.4/sq mi (851.5/km2)"
Marshall,City,"3,947",3.666,9.49,"1,076.7/sq mi (415.7/km2)"
Metamora,Village,"3,904",2.263,5.86,"1,725.1/sq mi (666.1/km2)"
Coal Valley,Village,"3,873",3.112,8.06,"1,244.5/sq mi (480.5/km2)"
Rochester,Village,"3,863",2.646,6.85,"1,459.9/sq mi (563.7/km2)"
St. Joseph,Village,"3,810",2.083,5.39,"1,829.1/sq mi (706.2/km2)"
Red Bud,City,"3,804",2.623,6.79,"1,450.2/sq mi (559.9/km2)"
Riverwoods,Village,"3,790",3.967,10.27,955.4/sq mi (368.9/km2)
Byron,City,"3,784",4.65,12.04,813.8/sq mi (314.2/km2)
Eldorado,City,"3,743",2.503,6.48,"1,495.4/sq mi (577.4/km2)"
Forsyth,Village,"3,734",3.13,8.11,"1,193.0/sq mi (460.6/km2)"
Oglesby,City,"3,712",4.992,12.93,743.6/sq mi (287.1/km2)
Deer Park,Village,"3,681",3.654,9.46,"1,007.4/sq mi (389.0/km2)"
Fulton,City,"3,647",2.338,6.06,"1,559.9/sq mi (602.3/km2)"
Fairbury,City,"3,633",1.809,4.69,"2,008.3/sq mi (775.4/km2)"
Aledo,City,"3,633",2.368,6.13,"1,534.2/sq mi (592.4/km2)"
Tolono,Village,"3,604",2.061,5.34,"1,748.7/sq mi (675.2/km2)"
Oregon,City,"3,604",1.927,4.99,"1,870.3/sq mi (722.1/km2)"
Hainesville,Village,"3,546",1.847,4.78,"1,919.9/sq mi (741.3/km2)"
Riverton,Village,"3,532",3.121,8.08,"1,131.7/sq mi (436.9/km2)"
Wadsworth,Village,"3,517",9.857,25.53,356.8/sq mi (137.8/km2)
Le Roy,City,"3,512",2.404,6.23,"1,460.9/sq mi (564.1/km2)"
Gibson City,City,"3,475",2.321,6.01,"1,497.2/sq mi (578.1/km2)"
New Baden,Village,"3,428",1.825,4.73,"1,878.4/sq mi (725.2/km2)"
Germantown Hills,Village,"3,412",1.636,4.24,"2,085.6/sq mi (805.2/km2)"
Johnston City,City,"3,384",2.116,5.48,"1,599.2/sq mi (617.5/km2)"
Galena,City,"3,308",4.492,11.63,736.4/sq mi (284.3/km2)
South Jacksonville,Village,"3,302",2.273,5.89,"1,452.7/sq mi (560.9/km2)"
Carlyle,City,"3,253",3.425,8.87,949.8/sq mi (366.7/km2)
Virden,City,"3,231",1.889,4.89,"1,710.4/sq mi (660.4/km2)"
Sleepy Hollow,Village,"3,214",2.019,5.23,"1,591.9/sq mi (614.6/km2)"
North Barrington,Village,"3,171",4.712,12.2,673.0/sq mi (259.8/km2)
Madison,City,"3,171",13.955,36.14,227.2/sq mi (87.7/km2)
Gillespie,City,"3,168",1.484,3.84,"2,134.8/sq mi (824.2/km2)"
Westville,Village,"3,167",1.678,4.35,"1,887.4/sq mi (728.7/km2)"
East Dundee,Village,"3,152",2.839,7.35,"1,110.3/sq mi (428.7/km2)"
Georgetown,City,"3,143",1.616,4.19,"1,944.9/sq mi (750.9/km2)"
Momence,City,"3,117",1.569,4.06,"1,986.6/sq mi (767.0/km2)"
Nashville,City,"3,105",3.079,7.97,"1,008.4/sq mi (389.4/km2)"
Rushville,City,"3,005",1.652,4.28,"1,819.0/sq mi (702.3/km2)"
Dixmoor,Village,"2,973",1.249,3.23,"2,380.3/sq mi (919.0/km2)"
Havana,City,"2,963",2.776,7.19,"1,067.4/sq mi (412.1/km2)"
Abingdon,City,"2,951",1.425,3.69,"2,070.9/sq mi (799.6/km2)"
Winnebago,Village,"2,940",1.934,5.01,"1,520.2/sq mi (586.9/km2)"
Arcola,City,"2,927",2.023,5.24,"1,446.9/sq mi (558.6/km2)"
Cherry Valley,Village,"2,905",8.405,21.77,345.6/sq mi (133.4/km2)
Knoxville,City,"2,901",2.35,6.09,"1,234.5/sq mi (476.6/km2)"
Mount Morris,Village,"2,861",1.56,4.04,"1,834.0/sq mi (708.1/km2)"
Heyworth,Village,"2,791",3.026,7.84,922.3/sq mi (356.1/km2)
Savanna,City,"2,783",2.616,6.78,"1,063.8/sq mi (410.8/km2)"
Newton,City,"2,777",2.088,5.41,"1,330.0/sq mi (513.5/km2)"
Lena,Village,"2,772",2.651,6.87,"1,045.6/sq mi (403.7/km2)"
El Paso,City,"2,756",2.145,5.56,"1,284.8/sq mi (496.1/km2)"
Hamilton,City,"2,753",3.561,9.22,773.1/sq mi (298.5/km2)
Oakbrook Terrace,City,"2,751",1.306,3.38,"2,106.4/sq mi (813.3/km2)"
Bushnell,City,"2,718",2.117,5.48,"1,283.9/sq mi (495.7/km2)"
Christopher,City,"2,697",1.622,4.2,"1,662.8/sq mi (642.0/km2)"
Trenton,City,"2,690",1.88,4.87,"1,430.9/sq mi (552.5/km2)"
Pawnee,Village,"2,678",1.332,3.45,"2,010.5/sq mi (776.3/km2)"
McLeansboro,City,"2,675",2.817,7.3,949.6/sq mi (366.6/km2)
Tilton,Village,"2,660",3.788,9.81,702.2/sq mi (271.1/km2)
Diamond,Village,"2,640",1.9,4.92,"1,389.5/sq mi (536.5/km2)"
Sumner,City,"2,631",1.398,3.62,"1,882.0/sq mi (726.6/km2)"
Round Lake Heights,Village,"2,622",0.575,1.49,"4,560.0/sq mi (1,760.6/km2)"
Washington Park,Village,"2,592",2.521,6.53,"1,028.2/sq mi (397.0/km2)"
Marquette Heights,City,"2,541",0.974,2.52,"2,608.8/sq mi (1,007.3/km2)"
Kenilworth,Village,"2,514",0.607,1.57,"4,141.7/sq mi (1,599.1/km2)"
Davis Junction,Village,"2,512",4.2,10.88,598.1/sq mi (230.9/km2)
Carthage,City,"2,490",2.491,6.45,999.6/sq mi (385.9/km2)
Carrollton,City,"2,485",1.902,4.93,"1,306.5/sq mi (504.4/km2)"
Villa Grove,City,"2,472",1.502,3.89,"1,645.8/sq mi (635.4/km2)"
Galva,City,"2,470",2.755,7.14,896.6/sq mi (346.2/km2)
Sheridan,Village,"2,431",2.121,5.49,"1,146.2/sq mi (442.5/km2)"
Casey,City,"2,404",2.263,5.86,"1,062.3/sq mi (410.2/km2)"
Farmington,City,"2,389",1.505,3.9,"1,587.4/sq mi (612.9/km2)"
Thornton,Village,"2,386",2.375,6.15,"1,004.6/sq mi (387.9/km2)"
Seneca,Village,"2,353",6.417,16.62,366.7/sq mi (141.6/km2)
Aviston,Village,"2,340",1.6,4.14,"1,462.5/sq mi (564.7/km2)"
Henry,City,"2,320",1.797,4.65,"1,291.0/sq mi (498.5/km2)"
White Hall,City,"2,295",2.577,6.67,890.6/sq mi (343.9/km2)
Polo,City,"2,291",1.334,3.46,"1,717.4/sq mi (663.1/km2)"
Wayne,Village,"2,286",5.73,14.84,399.0/sq mi (154.0/km2)
Amboy,City,"2,278",6.368,16.49,357.7/sq mi (138.1/km2)
Tremont,Village,"2,277",1.12,2.9,"2,033.0/sq mi (785.0/km2)"
Fairmont City,Village,"2,265",6.205,16.07,365.0/sq mi (140.9/km2)
Petersburg,City,"2,258",1.562,4.05,"1,445.6/sq mi (558.1/km2)"
Arthur,Village,"2,231",1.337,3.46,"1,668.7/sq mi (644.3/km2)"
Elwood,Village,"2,229",13.641,35.33,163.4/sq mi (63.1/km2)
Brighton,Village,"2,221",1.921,4.98,"1,156.2/sq mi (446.4/km2)"
Altamont,City,"2,216",1.489,3.86,"1,488.2/sq mi (574.6/km2)"
Nokomis,City,"2,142",1.261,3.27,"1,698.7/sq mi (655.9/km2)"
Pecatonica,Village,"2,090",1.283,3.32,"1,629.0/sq mi (629.0/km2)"
Lexington,City,"2,090",2.047,5.3,"1,021.0/sq mi (394.2/km2)"
Richmond,Village,"2,089",4.29,11.11,486.9/sq mi (188.0/km2)
Cambridge,Village,"2,086",1.991,5.16,"1,047.7/sq mi (404.5/km2)"
Mason City,City,"2,077",1.014,2.63,"2,048.3/sq mi (790.9/km2)"
Oakwood Hills,Village,"2,076",1.088,2.82,"1,908.1/sq mi (736.7/km2)"
Fisher,Village,"2,062",1.33,3.44,"1,550.4/sq mi (598.6/km2)"
Elmwood,City,"2,058",1.396,3.62,"1,474.2/sq mi (569.2/km2)"
Lewistown,City,"2,041",2,5.18,"1,020.5/sq mi (394.0/km2)"
Mount Olive,City,"2,015",1.153,2.99,"1,747.6/sq mi (674.8/km2)"
Rockdale,Village,"2,012",1.411,3.65,"1,425.9/sq mi (550.6/km2)"
Mount Sterling,City,"2,006",1.108,2.87,"1,810.5/sq mi (699.0/km2)"
Hinckley,Village,"2,006",0.847,2.19,"2,368.4/sq mi (914.4/km2)"
Catlin,Village,"1,983",0.849,2.2,"2,335.7/sq mi (901.8/km2)"
Athens,City,"1,977",1.682,4.36,"1,175.4/sq mi (453.8/km2)"
Albion,City,"1,971",2.136,5.53,922.8/sq mi (356.3/km2)
Merrionette Park,Village,"1,969",0.375,0.97,"5,250.7/sq mi (2,027.3/km2)"
Prairie Grove,Village,"1,963",5.677,14.7,345.8/sq mi (133.5/km2)
Roanoke,Village,"1,960",0.939,2.43,"2,087.3/sq mi (805.9/km2)"
New Athens,Village,"1,955",2.112,5.47,925.7/sq mi (357.4/km2)
Prophetstown,City,"1,946",1.339,3.47,"1,453.3/sq mi (561.1/km2)"
Steeleville,Village,"1,930",1.523,3.94,"1,267.2/sq mi (489.3/km2)"
Minonk,City,"1,928",2.4,6.22,803.3/sq mi (310.2/km2)
South Roxana,Village,"1,891",2.158,5.59,876.3/sq mi (338.3/km2)
Sesser,City,"1,888",1.03,2.67,"1,833.0/sq mi (707.7/km2)"
Mackinaw,Village,"1,879",1.189,3.08,"1,580.3/sq mi (610.2/km2)"
Lacon,City,"1,878",1.6,4.14,"1,173.8/sq mi (453.2/km2)"
Bellevue,Village,"1,878",2.224,5.76,844.4/sq mi (326.0/km2)
Carbon Cliff,Village,"1,846",2.095,5.43,881.1/sq mi (340.2/km2)
Marissa,Village,"1,833",7.212,18.68,254.2/sq mi (98.1/km2)
Farmer City,City,"1,828",2.395,6.2,763.3/sq mi (294.7/km2)
Ford Heights,Village,"1,813",1.946,5.04,931.7/sq mi (359.7/km2)
Bridgeport,City,"1,800",1.072,2.78,"1,679.1/sq mi (648.3/km2)"
Somonauk,Village,"1,786",2.488,6.44,717.8/sq mi (277.2/km2)
Girard,City,"1,785",0.934,2.42,"1,911.1/sq mi (737.9/km2)"
Hampton,Village,"1,779",1.461,3.78,"1,217.7/sq mi (470.1/km2)"
Moweaqua,Village,"1,764",2.123,5.5,830.9/sq mi (320.8/km2)
Orion,Village,"1,754",0.944,2.44,"1,858.1/sq mi (717.4/km2)"
Hudson,Village,"1,753",0.818,2.12,"2,143.0/sq mi (827.4/km2)"
Gilman,City,"1,738",2.433,6.3,714.3/sq mi (275.8/km2)
Cairo,City,"1,733",6.987,18.1,248.0/sq mi (95.8/km2)
Stockton,Village,"1,728",1.877,4.86,920.6/sq mi (355.5/km2)
Chenoa,City,"1,720",2.43,6.29,707.8/sq mi (273.3/km2)
Jonesboro,City,"1,711",2.7,6.99,633.7/sq mi (244.7/km2)
Phoenix,Village,"1,708",0.464,1.2,"3,681.0/sq mi (1,421.3/km2)"
Jerome,Village,"1,692",0.462,1.2,"3,662.3/sq mi (1,414.0/km2)"
Carrier Mills,Village,"1,672",1.208,3.13,"1,384.1/sq mi (534.4/km2)"
Atlanta,City,"1,669",1.249,3.23,"1,336.3/sq mi (515.9/km2)"
Port Byron,Village,"1,668",2.428,6.29,687.0/sq mi (265.2/km2)
Kirkland,Village,"1,650",1.226,3.18,"1,345.8/sq mi (519.6/km2)"
Ina,Village,"1,641",2.405,6.23,682.3/sq mi (263.4/km2)
Princeville,Village,"1,636",1.695,4.39,965.2/sq mi (372.7/km2)
De Pue,Village,"1,633",2.775,7.19,588.5/sq mi (227.2/km2)
Bunker Hill,City,"1,630",1.274,3.3,"1,279.4/sq mi (494.0/km2)"
Teutopolis,Village,"1,618",2.043,5.29,792.0/sq mi (305.8/km2)
Earlville,City,"1,613",1.201,3.11,"1,343.0/sq mi (518.6/km2)"
Thomson,Village,"1,610",2.219,5.75,725.6/sq mi (280.1/km2)
Dunlap,Village,"1,603",2.308,5.98,694.5/sq mi (268.2/km2)
Southern View,Village,"1,596",0.647,1.68,"2,466.8/sq mi (952.4/km2)"
Port Barrington,Village,"1,584",1.16,3,"1,365.5/sq mi (527.2/km2)"
Roodhouse,City,"1,578",1.127,2.92,"1,400.2/sq mi (540.6/km2)"
Maroa,City,"1,577",1.763,4.57,894.5/sq mi (345.4/km2)
Winchester,City,"1,574",1.129,2.92,"1,394.2/sq mi (538.3/km2)"
Delavan,City,"1,568",1.44,3.73,"1,088.9/sq mi (420.4/km2)"
Alorton[a],Village,"1,566",1.808,4.68,866.2/sq mi (334.4/km2)
Limestone,Village,"1,558",2.622,6.79,594.2/sq mi (229.4/km2)
Manito,Village,"1,552",1.513,3.92,"1,025.8/sq mi (396.1/km2)"
Grayville,City,"1,550",2.127,5.51,728.7/sq mi (281.4/km2)
Mount Pulaski,City,"1,537",1.134,2.94,"1,355.4/sq mi (523.3/km2)"
Herscher,Village,"1,521",1.813,4.7,838.9/sq mi (323.9/km2)
Erie,Village,"1,518",1.38,3.57,"1,100.0/sq mi (424.7/km2)"
Virginia,City,"1,514",1.207,3.13,"1,254.3/sq mi (484.3/km2)"
Warsaw,City,"1,510",6.52,16.89,231.6/sq mi (89.4/km2)
East Dubuque,City,"1,505",2.742,7.1,548.9/sq mi (211.9/km2)
Cambria,Village,"1,505",1.415,3.66,"1,063.6/sq mi (410.7/km2)"
Lanark,City,"1,504",1.121,2.9,"1,341.7/sq mi (518.0/km2)"
Hodgkins,Village,"1,500",2.712,7.02,553.1/sq mi (213.6/km2)
Venice,City,"1,498",1.849,4.79,810.2/sq mi (312.8/km2)
Zeigler,City,"1,484",1.359,3.52,"1,092.0/sq mi (421.6/km2)"
Bement,Village,"1,484",0.778,2.02,"1,907.5/sq mi (736.5/km2)"
Mount Carroll,City,"1,479",2.003,5.19,738.4/sq mi (285.1/km2)
North Pekin,Village,"1,478",1.392,3.61,"1,061.8/sq mi (410.0/km2)"
Benld,City,"1,464",1.06,2.75,"1,381.1/sq mi (533.3/km2)"
Gridley,Village,"1,456",1.233,3.19,"1,180.9/sq mi (455.9/km2)"
Roxana,Village,"1,454",7.101,18.39,204.8/sq mi (79.1/km2)
Leland Grove,City,"1,454",0.628,1.63,"2,315.3/sq mi (893.9/km2)"
Crainville,Village,"1,443",1.653,4.28,873.0/sq mi (337.1/km2)
Forreston,Village,"1,435",0.943,2.44,"1,521.7/sq mi (587.5/km2)"
Waterman,Village,"1,433",1.451,3.76,987.6/sq mi (381.3/km2)
Maple Park,Village,"1,433",2.154,5.58,665.3/sq mi (256.9/km2)
Williamsville,Village,"1,425",1.548,4.01,920.5/sq mi (355.4/km2)
De Soto,Village,"1,407",0.912,2.36,"1,542.8/sq mi (595.7/km2)"
Grandview,Village,"1,405",0.335,0.87,"4,194.0/sq mi (1,619.3/km2)"
Neoga,City,"1,398",1.39,3.6,"1,005.8/sq mi (388.3/km2)"
Capron,Village,"1,395",0.768,1.99,"1,816.4/sq mi (701.3/km2)"
Philo,Village,"1,392",0.829,2.15,"1,679.1/sq mi (648.3/km2)"
Durand,Village,"1,390",0.919,2.38,"1,512.5/sq mi (584.0/km2)"
New Berlin,Village,"1,381",1.13,2.93,"1,222.1/sq mi (471.9/km2)"
Oblong,Village,"1,371",1.086,2.81,"1,262.4/sq mi (487.4/km2)"
Okawville,Village,"1,369",2.025,5.24,676.0/sq mi (261.0/km2)
Hebron,Village,"1,368",1.931,5,708.4/sq mi (273.5/km2)
Gardner,Village,"1,366",2.912,7.54,469.1/sq mi (181.1/km2)
Greenup,Village,"1,365",1.75,4.53,780.0/sq mi (301.2/km2)
Granville,Village,"1,359",1.307,3.39,"1,039.8/sq mi (401.5/km2)"
St. Jacob,Village,"1,358",0.832,2.15,"1,632.2/sq mi (630.2/km2)"
Clifton,Village,"1,352",0.93,2.41,"1,453.8/sq mi (561.3/km2)"
Kincaid,Village,"1,349",0.817,2.12,"1,651.2/sq mi (637.5/km2)"
Vienna,City,"1,343",2.837,7.35,473.4/sq mi (182.8/km2)
Toluca,City,"1,340",1.062,2.75,"1,261.8/sq mi (487.2/km2)"
Onarga,Village,"1,333",1.674,4.34,796.3/sq mi (307.5/km2)
Oakwood,Village,"1,325",0.928,2.4,"1,427.8/sq mi (551.3/km2)"
Germantown,Village,"1,324",1.014,2.63,"1,305.7/sq mi (504.1/km2)"
Warren,Village,"1,323",1.033,2.68,"1,280.7/sq mi (494.5/km2)"
North Utica,Village,"1,323",3.455,8.95,382.9/sq mi (147.8/km2)
Cerro Gordo,Village,"1,316",0.729,1.89,"1,805.2/sq mi (697.0/km2)"
Chrisman,City,"1,312",0.719,1.86,"1,824.8/sq mi (704.5/km2)"
Walnut,Village,"1,311",0.801,2.07,"1,636.7/sq mi (631.9/km2)"
Harristown,Village,"1,310",1.797,4.65,729.0/sq mi (281.5/km2)
Barry,City,"1,303",1.432,3.71,909.9/sq mi (351.3/km2)
Wyoming,City,"1,300",0.854,2.21,"1,522.2/sq mi (587.7/km2)"
East Hazel Crest,Village,"1,297",0.784,2.03,"1,654.3/sq mi (638.7/km2)"
Grant Park,Village,"1,294",3.413,8.84,379.1/sq mi (146.4/km2)
Ladd,Village,"1,263",1.209,3.13,"1,044.7/sq mi (403.3/km2)"
Long Creek,Village,"1,261",2.825,7.32,446.4/sq mi (172.3/km2)
Bethany,Village,"1,255",0.977,2.53,"1,284.5/sq mi (496.0/km2)"
St. Elmo,City,"1,254",1.483,3.84,845.6/sq mi (326.5/km2)
Hanna City,Village,"1,253",1.278,3.31,980.4/sq mi (378.5/km2)
Valmeyer,Village,"1,233",3.417,8.85,360.8/sq mi (139.3/km2)
Palestine,Village,"1,233",0.789,2.04,"1,562.7/sq mi (603.4/km2)"
Tower Lakes,Village,"1,226",0.919,2.38,"1,334.1/sq mi (515.1/km2)"
Hillcrest,Village,"1,224",3.549,9.19,344.9/sq mi (133.2/km2)
Rossville,Village,"1,221",1.398,3.62,873.4/sq mi (337.2/km2)
Ashland,Village,"1,218",0.748,1.94,"1,628.3/sq mi (628.7/km2)"
Sidney,Village,"1,208",0.624,1.62,"1,935.9/sq mi (747.5/km2)"
Downs,Village,"1,201",2.966,7.68,404.9/sq mi (156.3/km2)
Waverly,City,"1,194",1.036,2.68,"1,152.5/sq mi (445.0/km2)"
Toulon,City,"1,193",1.017,2.63,"1,173.1/sq mi (452.9/km2)"
Hartford,Village,"1,185",5.166,13.38,229.4/sq mi (88.6/km2)
Chatsworth,Town,"1,185",2.757,7.14,429.8/sq mi (166.0/km2)
Cuba,City,"1,184",0.543,1.41,"2,180.5/sq mi (841.9/km2)"
Andalusia,Village,"1,184",1.175,3.04,"1,007.7/sq mi (389.1/km2)"
Macon,City,"1,177",1.451,3.76,811.2/sq mi (313.2/km2)
La Harpe,City,"1,175",1.364,3.53,861.4/sq mi (332.6/km2)
Toledo,Village,"1,161",0.888,2.3,"1,307.4/sq mi (504.8/km2)"
St. Anne,Village,"1,161",0.83,2.15,"1,398.8/sq mi (540.1/km2)"
Milford,Village,"1,158",0.671,1.74,"1,725.8/sq mi (666.3/km2)"
Sandoval,Village,"1,157",0.996,2.58,"1,161.6/sq mi (448.5/km2)"
Assumption,City,"1,155",0.99,2.56,"1,166.7/sq mi (450.5/km2)"
Minier,Village,"1,154",0.569,1.47,"2,028.1/sq mi (783.1/km2)"
Norris City,Village,"1,145",1.172,3.04,977.0/sq mi (377.2/km2)
Malta,Village,"1,143",0.612,1.59,"1,867.6/sq mi (721.1/km2)"
Divernon,Village,"1,139",0.763,1.98,"1,492.8/sq mi (576.4/km2)"
Louisville,Village,"1,136",0.828,2.14,"1,372.0/sq mi (529.7/km2)"
Oquawka,Village,"1,134",1.469,3.8,772.0/sq mi (298.1/km2)
Blue Mound,Village,"1,133",0.585,1.52,"1,936.8/sq mi (747.8/km2)"
Bull Valley,Village,"1,128",9.128,23.64,123.6/sq mi (47.7/km2)
Camp Point,Village,"1,121",1.134,2.94,988.5/sq mi (381.7/km2)
Albers,Village,"1,121",0.846,2.19,"1,325.1/sq mi (511.6/km2)"
Martinsville,City,"1,118",2.021,5.23,553.2/sq mi (213.6/km2)
Atwood,Village,"1,116",0.614,1.59,"1,817.6/sq mi (701.8/km2)"
Third Lake,Village,"1,111",0.586,1.52,"1,895.9/sq mi (732.0/km2)"
Warrensburg,Village,"1,110",0.728,1.89,"1,524.7/sq mi (588.7/km2)"
Kingston,Village,"1,108",0.984,2.55,"1,126.0/sq mi (434.8/km2)"
Colchester,City,"1,108",1.15,2.98,963.5/sq mi (372.0/km2)
Big Rock,Village,"1,104",4.318,11.18,255.7/sq mi (98.7/km2)
Central City,Village,"1,098",0.565,1.46,"1,943.4/sq mi (750.3/km2)"
Griggsville,City,"1,097",1.106,2.86,991.9/sq mi (383.0/km2)
Worden,Village,"1,096",0.713,1.85,"1,537.2/sq mi (593.5/km2)"
Danvers,Village,"1,089",0.803,2.08,"1,356.2/sq mi (523.6/km2)"
Edinburg,Village,"1,085",0.625,1.62,"1,736.0/sq mi (670.3/km2)"
"Windsor, Shelby County, Illinois",City,"1,079",0.63,1.63,"1,712.7/sq mi (661.3/km2)"
Stillman Valley,Village,"1,075",0.57,1.48,"1,886.0/sq mi (728.2/km2)"
Cobden,Village,"1,074",1.219,3.16,881.1/sq mi (340.2/km2)
Homer,Village,"1,073",0.98,2.54,"1,094.9/sq mi (422.7/km2)"
Lovington,Village,"1,069",0.544,1.41,"1,965.1/sq mi (758.7/km2)"
Royalton,Village,"1,068",1.115,2.89,957.8/sq mi (369.8/km2)
Goreville,Village,"1,068",2.686,6.96,397.6/sq mi (153.5/km2)
Greenfield,City,"1,059",1.714,4.44,617.9/sq mi (238.6/km2)
Shawneetown,City,"1,054",0.734,1.9,"1,436.0/sq mi (554.4/km2)"
Chebanse,Village,"1,044",1.19,3.08,877.3/sq mi (338.7/km2)
Forrest,Village,"1,041",0.648,1.68,"1,606.5/sq mi (620.3/km2)"
Thomasboro,Village,"1,034",0.995,2.58,"1,039.2/sq mi (401.2/km2)"
Washburn,Village,"1,032",0.72,1.86,"1,433.3/sq mi (553.4/km2)"
Lily Lake,Village,"1,032",2.717,7.04,379.8/sq mi (146.7/km2)
Milledgeville,Village,"1,026",0.69,1.79,"1,487.0/sq mi (574.1/km2)"
Payson,Village,"1,025",1.17,3.03,876.1/sq mi (338.3/km2)
Bannockburn,Village,"1,013",2.028,5.25,499.5/sq mi (192.9/km2)
