name,type,pop_2020,LA_sqmi,PD_sqmi
Mokena,Village,"19,887",8.689,"2,288.8"
Lake Zurich,Village,"19,759",6.868,"2,877.0"
Brookfield,Village,"19,476",3.064,"6,356.4"
Homewood,Village,"19,463",5.216,"3,731.4"
Lake Forest,City,"19,367",17.2,"1,126.0"
Deerfield,Village,"19,196",5.528,"3,472.5"
Matteson,Village,"19,073",9.285,"2,054.2"
Alsip,Village,"19,063",6.525,"2,921.5"
Ottawa,City,"18,840",14.657,"1,285.4"
Bensenville,Village,"18,813",5.53,"3,402.0"
Bellwood,Village,"18,789",2.398,"7,835.3"
Round Lake,Village,"18,721",5.557,"3,368.9"
Sycamore,City,"18,577",10.12,"1,835.7"
Palos Hills,City,"18,530",4.246,"4,364.1"
East St. Louis,City,"18,469",13.919,"1,326.9"
Franklin Park,Village,"18,467",4.772,"3,869.9"
North Aurora,Village,"18,261",7.557,"2,416.4"
Shorewood,Village,"18,186",8.069,"2,253.8"
Bourbonnais,Village,"18,164",9.312,"1,950.6"
Cary,Village,"17,826",6.232,"2,860.4"
Godfrey,Village,"17,825",34.395,518.2
Lemont,Village,"17,629",8.321,"2,118.6"
Jacksonville,City,"17,616",10.563,"1,667.7"
Hinsdale,Village,"17,395",4.623,"3,762.7"
Charleston,City,"17,286",8.884,"1,945.7"
Morton,Village,"17,117",12.808,"1,336.4"
Bridgeview,Village,"17,027",4.133,"4,119.8"
Westchester,Village,"16,892",3.686,"4,582.7"
Mattoon,City,"16,870",10.314,"1,635.6"
Marion,City,"16,855",14.392,"1,171.1"
Country Club Hills,City,"16,775",4.97,"3,375.3"
Fairview Heights,City,"16,706",11.431,"1,461.5"
La Grange,Village,"16,321",2.525,"6,463.8"
Washington,City,"16,071",8.541,"1,881.6"
Prospect Heights,City,"16,058",4.256,"3,773.0"
Bradley,Village,"15,419",6.932,"2,224.3"
Dixon,City,"15,274",7.752,"1,970.3"
Norridge,Village,"15,251",1.808,"8,435.3"
Macomb,City,"15,051",10.57,"1,423.9"
