name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
St. Rose[c],Village,38.6842146,-89.5545304,459,0.591,776.6
Pierron,Village,38.777744,-89.5937934464039,459,0.734,625.3
Allendale,Village,38.5267143,-87.7097495,458,0.307,1491.9
Sun River Terrace,Village,41.1224945,-87.7336406,455,0.573,794.1
Dalton City,Village,39.7119804,-88.8045162,454,0.534,850.2
Mount Auburn,Village,39.766154,-89.2617488,452,0.997,453.4
Kaneville,Village,41.8353062,-88.5220233,452,0.285,1586.0
Camargo,Village,39.8003105,-88.1639315,452,1.259,359.0
Elkhart,Village,40.0207284,-89.4822462,450,1.942,231.7
Ipava,Village,40.3514319,-90.3245681,447,0.268,1667.9
De Land,Village,40.1222568,-88.6453453,447,0.424,1054.2
Buffalo,Village,39.852547,-89.4087032,447,0.345,1295.7
Versailles,Village,39.8850477,-90.6559611,446,0.933,478.0
Cornell,Village,40.9900326,-88.7292337,446,0.654,682.0
Hoffman,Village,38.5413716,-89.263599,439,0.506,867.6
Norwood,Village,40.7055931,-89.6987129,437,0.307,1423.5
Scales Mound,Village,42.4758462,-90.2529773,436,0.628,694.3
Plymouth,Village,40.2917112,-90.919023,436,0.565,771.7
Cherry,Village,41.4269787,-89.213419,435,0.514,846.3
Tallula,Village,39.9444932,-89.9373336,434,0.531,817.3
German Valley,Village,42.2155786,-89.4734459,433,0.478,905.9
Leaf River,Village,42.1255813,-89.4037207,432,0.869,497.1
Towanda,Village,40.5639242,-88.8989607,431,0.744,579.3
Tamms,Village,37.23505,-89.2700811,430,2.332,184.4
Karnak,Village,37.2936633,-88.9753462,430,1.806,238.1
Sorento,Village,38.998935,-89.5736984,429,0.798,537.6
Hecker,Village,38.30487,-89.99440337947232,429,0.253,1695.7
Beecher City,Village,39.1880983,-88.7867278,428,0.895,478.2
Neponset,Village,41.29587,-89.7903802,427,1.016,420.3
Fairview,Village,40.6333724,-90.1637318,426,4.215,101.1
Lostant,Village,41.142812,-89.0600817,423,1.122,377.0
Hopewell,Village,40.9847586,-89.4573128,421,1.135,370.9
Hillsdale,Village,41.6136437,-90.1728998,417,0.648,643.5
Melvin,Village,40.5675346,-88.2478272,416,0.346,1202.3
Naplate,Village,41.3336449,-88.8781334,412,0.16,2575.0
Benson,Village,40.8505901,-89.1223021,412,0.163,2527.6
Monroe Center,Village,42.0983583,-89.000655,411,1.212,339.1
Buckner,Village,37.9831056,-89.0161841,409,0.872,469.0
Waltonville,Village,38.2089389,-89.0389605,408,1.24,329.0
Prairie City,Village,40.6211512,-90.4620731,407,1.008,403.8
Saunemin,Village,40.8930888,-88.4053323,406,0.231,1757.6
Keyesport,Village,38.7477205,-89.27074921728442,406,0.72,563.9
Lomax,Village,40.6788821,-91.0734114,404,1.189,339.8
Sadorus,Village,39.9669758,-88.3464425,402,1.027,391.4
New Haven,Village,37.9086568,-88.1292021,399,1.244,320.7
Industry,Village,40.3278211,-90.607073,399,0.46,867.4
Edgewood,Village,38.9206006,-88.6614402,398,1.013,392.9
Hull,Village,39.7069907,-91.2068089,392,1.825,214.8
East Carondelet,Village,38.5419967,-90.2328909,390,1.177,331.4
Bondville,Village,40.1132048,-88.3695046,388,0.251,1545.8
Waynesville,Village,40.2389277,-89.1231418,381,0.319,1194.4
Xenia,Village,38.6358808,-88.6347744,380,0.493,770.8
Sublette,Village,41.6430884,-89.2278681,380,0.321,1183.8
Medora,Village,39.1744908,-90.1431654,379,0.38,997.4
Varna,Village,41.0364236,-89.2261963,375,0.297,1262.6
Bonnie,Village,38.2028273,-88.9033993,374,1.275,293.3
Irving,Village,39.2058801,-89.4045304,373,0.897,415.8
Joy,Village,41.1967002,-90.8804201,372,0.428,869.2
Carbon Hill,Village,41.2969763,-88.3000634,372,0.178,2089.9
Weldon,Village,40.1211468,-88.7453497,369,0.267,1382.0
Dowell,Village,37.9397727,-89.2378608,368,0.39,943.6
Arenzville,Village,39.8769918,-90.3734571,367,0.768,477.9
Sparland,Village,41.0286474,-89.4384235,366,0.572,639.9
Good Hope,Village,40.5578178,-90.6734649,363,0.3,1210.0
Humboldt,Village,39.6042,-88.3189362,361,0.343,1052.5
Cutler,Village,38.0322733,-89.5656512,361,0.468,771.4
Herrick,Village,39.2203197,-88.9845172,358,0.366,978.1
Belgium,Village,40.0620915,-87.6392353,358,0.434,824.9
Loda,Village,40.5175349,-88.0719857,356,1.467,242.7
Jeffersonville,Village,38.4425137,-88.40398041172821,355,1.012,350.8
Bay View Gardens,Village,40.808926,-89.5206486,354,0.569,622.1
Table Grove,Village,40.3642095,-90.4251258,353,0.282,1251.8
Bonfield,Village,41.1466986,-88.0578276,351,0.492,713.4
New Douglas,Village,38.9700463,-89.6664793,350,1.048,334.0
London Mills,Village,40.7105947,-90.2662355,350,0.684,511.7
Joppa,Village,37.2064423,-88.8447822,350,0.486,720.2
Summerfield,Village,38.5972705,-89.751762,347,0.495,701.0
Apple River,Village,42.5021105,-90.0968264,347,0.705,492.2
Bellflower,Village,40.3400336,-88.5270053,346,0.361,958.4
Roberts,Village,40.6128127,-88.1833798,345,0.481,717.3
Secor,Village,40.7419799,-89.1353567,342,0.29,1179.3
Grantfork,Village,38.8300469,-89.6656453,341,0.337,1011.9
Panama,Village,39.0297315,-89.52460433901987,337,0.365,923.3
New Canton,Town,39.6361576,-91.0959713,334,0.881,379.1
Martinton,Village,40.9158671,-87.7253124,334,0.274,1219.0
Latham,Village,39.9686517,-89.1623092,333,0.273,1219.8
Sigel,Town,39.2261504,-88.4942259,329,0.281,1170.8
Middletown,Village,40.1003246,-89.5909378,329,0.341,964.8
Ellis Grove,Village,38.0089404,-89.9059408,328,0.491,668.0
Orient,City,37.9183832,-88.9775715,327,0.745,438.9
Hume,Village,39.7967015,-87.8686414,325,0.566,574.2
Greenwood,Village,42.3925202,-88.3892586,324,2.632,123.1
Mason,Town,40.2302271,-89.8660433,323,1.287,251.0
Flat Rock,Village,38.901711,-87.6716922,323,0.856,377.3
St. Peter,Village,38.8674855,-88.85025311493288,322,0.521,618.0
Seatonville,Village,41.3647575,-89.2764763,321,0.496,647.2
Hanaford,Village,37.9571937,-88.8405465,320,1.008,317.5
Alto Pass,Village,37.5703276,-89.3175879,319,2.134,149.5
Malden,Village,41.4244797,-89.3692566,318,0.272,1169.1
Alma,Village,38.7217147,-88.9092242,318,1.132,280.9
Coalton,Village,39.2828235,-89.3011961,317,0.53,598.1
Broadlands,Village,39.9086455,-87.9942016,316,0.322,981.4
Perry,Village,38.0772859,-89.3760499,314,0.386,813.5
Baldwin,Village,38.1831051,-89.8426029,314,0.666,471.5
Ruma,Village,38.1350512,-89.9978864,313,0.742,421.8
Lee,Village,41.74731105,-89.28602959086061,313,0.198,1580.8
Easton,Village,40.2325434,-89.8426123,312,0.24,1300.0
Mount Clare,Village,39.0986579,-89.8262077,311,1.538,202.2
Kenney,Village,40.0967053,-89.0859189,311,0.282,1102.8
Kampsville,Village,39.2978735,-90.6089912,310,1.02,303.9
Armington,Village,40.3389352,-89.3123278,310,0.285,1087.7
Campbell Hill,Village,37.9300513,-89.5489852,309,0.462,668.8
Belle Rive,Village,38.2328265,-88.740615,309,1.026,301.2
Ransom,Village,41.1561445,-88.6495133,308,0.999,308.3
Ludlow,Village,40.3869787,-88.1275437,308,0.397,775.8
Beaverville,Village,40.954478,-87.6544781,306,0.275,1112.7
Fillmore,Village,39.115323,-89.2789678,305,1.016,300.2
Fayetteville,Village,38.3775489,-89.7953771,302,0.296,1020.3
Loraine,Village,40.1542128,-91.2223653,300,0.844,355.5
Ewing,Village,38.0886603,-88.852287,300,1.009,297.3
Biggsville,Village,40.8536498,-90.8648617,300,0.337,890.2
Manlius,Village,41.456424,-89.6689875,298,0.319,934.2
Kane,Village,41.923434,-88.4248315,296,0.544,544.1
Royal,Village,40.1928126,-87.9728126,293,0.183,1601.1
Rock City,Village,42.4132832,-89.4686451,293,0.134,2186.6
Virgil,Village,41.9558606,-88.5373047,289,2.183,132.4
East Cape Girardeau,Village,37.2958838,-89.4962024,289,1.961,147.4
Sibley,Village,40.5869788,-88.3811648,288,0.481,598.8
Olmsted,Village,37.1806073,-89.0889609,285,3.365,84.7
Raleigh,Village,37.8269921,-88.5319958,284,1.976,143.7
Little York,Village,41.0111483,-90.7462496,283,0.223,1269.1
Nebo,Village,39.4425478,-90.7909612,282,0.434,649.8
Winslow,Village,42.4926806,-89.7918095,281,0.458,613.5
Bureau Junction,Village,41.2892031,-89.3664786,281,1.446,194.3
Bath,Village,40.1933784,-90.1409523,279,0.365,764.4
Millbrook,Village,41.5983635,-88.5528521,277,1.846,150.1
Arrowsmith,Village,40.4494787,-88.6317305,276,0.197,1401.0
New Holland,Village,40.1847671,-89.580938,275,0.31,887.1
McNabb,Village,41.1769799,-89.2092522,275,0.177,1553.7
Hindsboro,Village,39.6850336,-88.1336515,275,0.269,1022.3
Elliott,Village,40.4647562,-88.2722728,274,0.498,550.2
Compton,Village,41.694291,-89.0856855,274,0.158,1734.2
Brocton,Village,39.7155902,-87.9325327,273,0.572,477.3
Plainville,Village,39.7836535,-91.1819178102169,271,0.235,1153.2
Lisbon,Village,41.4814196,-88.482293,271,2.117,128.0
East Gillespie,Village,39.1408804,-89.8123181,269,0.319,843.3
Victoria,Village,41.0336485,-90.0984504,268,0.451,594.2
Sawyerville,Village,39.07838,-89.807318,268,0.988,271.3
Freeman Spur,Village,37.859573,-88.9987697140229,268,0.399,671.7
Kingston Mines,Village,40.5580943,-89.770663,266,1.444,184.2
Henderson,Village,40.8156124,-90.9104547,266,0.265,1003.8
Cedar Point,Village,41.2630912,-89.1256394,266,1.021,260.5
Manchester,Village,39.5422692,-90.3323435,265,1.063,249.3
Kilbourne,Village,40.1519897,-90.0101153,265,0.889,298.1
Ivesdale,Village,39.945834500000004,-88.45587600681185,265,0.716,370.1
Hartsburg,Village,40.2508762,-89.440933,262,0.15,1746.7
Dunfermline,Village,40.4911505,-90.0317835,262,0.147,1782.3
Allerton,Village,39.915319,-87.93321507559128,262,0.679,385.9
Mapleton,Village,40.5664276,-89.7317726,261,0.885,294.9
Rutland,Village,40.9841992,-89.0417467,259,0.694,373.2
Addieville,Village,38.391439,-89.4900881,259,0.993,260.8
McClure,Village,37.317828,-89.4314781,256,1.528,167.5
Magnolia,Village,41.113646,-89.1945292,256,0.313,817.9
Cisco,Village,40.0114248,-88.7261827,254,0.182,1395.6
Donovan,Village,40.883368,-87.6161428,251,0.328,765.2
McCook,Village,41.7978095,-87.8447798,249,2.614,95.3
Woodland,Village,40.7144803,-87.7311426,248,0.49,506.1
Bellmont,Village,38.3844921,-87.9114204,247,0.325,760.0
Buckingham,Village,41.0473308,-88.174434,244,0.251,972.1
Bush,Village,37.8433836,-89.13119,241,0.455,529.7
Ste. Marie,Village,38.929709,-88.02765411772023,238,1.109,214.6
Richview,Village,38.378383,-89.1800752,238,1.149,207.1
Vergennes,Village,37.902273,-89.3356432,235,0.352,667.6
Kangley,Village,41.1458671,-88.873687,235,0.261,900.4
Oakford,Village,40.1025463,-89.9631693,234,0.249,939.8
Gladstone,Village,40.864483,-90.9612528,234,0.36,650.0
Alvin,Village,40.3083697,-87.6083537,233,0.793,293.8
Cabery,Village,40.9958657,-88.2053282,231,0.344,671.5
Steward,Village,41.8479388,-89.0194764,229,0.269,851.3
Kappa,Village,40.6758686,-89.007852,229,0.357,641.5
Cave-In-Rock,Village,37.471909,-88.16593881078178,228,0.374,609.6
Indianola,Village,39.927258,-87.740025,227,0.388,585.1
Lerna,Village,39.4183688,-88.2886551,226,0.115,1965.2
Troy Grove,Village,41.4663261,-89.082742,225,0.687,327.5
Standard,Village,41.2566663,-89.1808058,225,0.711,316.5
Stonefort,Village,37.615849,-88.70403223856786,224,1.454,154.1
Forest City,Village,40.3700411,-89.8276113,222,0.523,424.5
Plattville,Village,41.531697,-88.3814575,220,2.259,97.4
Elizabethtown,Village,37.4459108,-88.305099,220,0.705,312.1
Maquon,Village,40.798927,-90.1656764,218,0.162,1345.7
Gays,Village,39.4580898,-88.4939406,218,0.386,564.8
Cypress,Village,37.3650516,-89.0181271,217,0.753,288.2
Palmer,Village,39.457827,-89.4039813,216,0.995,217.1
Thawville,Village,40.6758683,-88.116155,215,0.307,700.3
Seaton,Village,41.1022578,-90.801529,214,1.579,135.5
Sammons Point,Village,41.032788,-87.85419978294769,214,1.851,115.6
Milton,Village,39.5644921,-90.6504043,214,0.386,554.4
Curran,Village,39.7422737,-89.7720477,213,1.975,107.8
White City,Village,39.0647689,-89.7634271,212,1.212,174.9
Bulpitt,Village,39.5917159,-89.4239811,212,0.069,3072.5
Menominee,Village,42.4878856,-90.5328697,211,1.914,110.2
Montrose,Village,39.1641535,-88.38106277541719,210,0.637,329.7
Henning,Village,40.3050364,-87.7008567,210,1.524,137.8
Bardolph,Village,40.4950406,-90.5645735,210,0.617,340.4
Rio,Village,41.1092036,-90.399851,209,0.312,669.9
Owaneco,Village,39.4822664,-89.1936976,209,0.458,456.3
Omaha,Village,37.8903243,-88.3030977,209,0.744,280.9
Verona,Village,41.2178109,-88.5014557,208,0.165,1260.6
Thebes,Village,37.2208838,-89.4609209,208,1.745,119.2
Buncombe,Village,37.4714403,-88.9770151,207,1.187,174.4
Wellington,Village,40.5392032,-87.6800257,206,0.238,865.5
Mineral,Village,41.382669,-89.8364918,206,0.553,372.5
Long Point,Village,41.0047545,-88.8917412,204,0.185,1102.7
Vermilion,Village,40.1749809,-87.7323857,203,0.546,371.8
Clear Lake[b],Village,39.8136611,-89.5687083,203,0.092,2206.5
Nilwood,Town,39.3981062,-89.8087086,201,0.465,432.3
Reddick,Village,41.0972544,-88.2506114,199,0.239,832.6
Oakdale,Village,38.2617174,-89.5014792,199,1.582,125.8
Nason,City,38.1761609,-88.9675689,199,0.911,218.4
Jewett,Village,39.2078171,-88.2458744,196,1.005,195.0
Alsey,Village,39.5606027,-90.4340126,195,0.549,355.2
Lake Ka-Ho,Village,39.0997693,-89.7470374,194,0.284,683.1
Smithfield,Village,40.4733743,-90.2917904,191,0.465,410.8
Kinderhook,Village,39.7022686,-91.1531957,189,0.808,233.9
Shumway,Village,39.1850417,-88.6522771,188,0.332,566.3
Parkersburg,Village,38.5897711,-88.0567031,186,0.826,225.2
Broughton,Village,37.9347695,-88.4619932,185,1.89,97.9
Ellsworth,Village,40.4503125,-88.7167336,184,0.217,847.9
Williamson,Village,37.737632500000004,-88.92944520134037,183,1.171,156.3
Radom,Village,38.2819943,-89.1922994,183,1.048,174.6
Caledonia,Village,42.369463,-88.8926041,183,1.035,176.8
Modesto,Village,39.4783816,-89.982051,182,0.559,325.6
Waggoner,Village,39.3775509,-89.6531496,181,0.244,741.8
Spillertown,Village,37.7664385,-88.9195138,181,0.321,563.9
Bone Gap,Village,38.4475492,-87.9958669,181,0.583,310.5
Hooppole,Village,41.5222555,-89.9098306,180,0.372,483.9
Harvel,Village,39.3561613,-89.5323151,178,0.718,247.9
Mill Shoals,Village,38.2486586,-88.3467125,176,0.767,229.5
Kempton,Village,40.9355888,-88.237273,176,0.165,1066.7
Fieldon,Village,39.1086589,-90.4984514,176,0.202,871.3
Rockbridge,Village,39.2692131,-90.2042796,175,0.737,237.4
New Minden,Village,38.4414386,-89.3703603,175,0.277,631.8
Du Bois,Village,38.2219647,-89.2144598,175,1.052,166.3
Keensburg,Village,38.3506026,-87.8686416,174,0.26,669.2
Norris,Village,40.6258354,-90.032144,173,0.283,611.3
Kell,Village,38.4911598,-88.9064505,173,1.002,172.7
Gorham,Village,37.718384,-89.4859292,173,1.219,141.9
Willow Hill,Village,38.9958759,-88.0225349,172,1.039,165.5
Baylis,Village,39.7283804,-90.9081876,172,0.471,365.2
Chesterfield,Village,39.2550463,-90.063163,170,0.541,314.2
Batchtown,Village,39.0331048,-90.6576221,170,1.863,91.3
Banner,Village,40.5169834,-89.9084461,169,1.29,131.0
Arlington,Village,41.4736452,-89.2492531,169,0.395,427.8
Colp,Village,37.8053279,-89.0800768,168,0.134,1253.7
Bryant,Village,40.4661513,-90.0917851,168,0.248,677.4
Royal Lakes,Village,39.112058,-89.9606925789953,167,0.466,358.4
Coleta,Village,41.9022509,-89.8023374,167,0.37,451.4
Sims,Village,38.3603259,-88.530607,166,1.182,140.4
Calhoun,Village,39.1397507,-90.6506113,164,0.912,179.8
Butler,Village,39.1994924,-89.5339783,164,0.596,275.2
St. Johns,Village,38.0334025,-89.24052061641315,163,0.725,224.8
Cleveland,Village,41.5061454,-90.3148479,163,0.294,554.4
Anchor,Village,40.5680898,-88.5356146,163,0.171,953.2
Old Mill Creek,Village,42.4219653,-87.9725781,162,10.671,15.2
North Henderson,Village,41.0892036,-90.4754096,162,0.226,716.8
Dana,Village,40.9576907,-88.9505694,162,0.22,736.4
Claremont,Village,38.7194921,-87.9714232,161,0.793,203.0
La Fayette,Village,41.1080927,-89.9714998,160,0.189,846.6
Huey,Village,38.6044931,-89.2911874,160,0.216,740.7
De Witt,Village,40.1811468,-88.7861844,160,0.237,675.1
Muncie,Village,40.1155911,-87.844751,157,0.179,877.1
Cooksville,Village,40.5430902,-88.7164546,157,0.217,723.5
Smithboro,Village,38.8961575,-89.3406323,154,0.932,165.2
Pulaski,Village,37.2314232,-89.1183427,154,1.31,117.6
New Burnside,Village,37.579217,-88.770894,153,1.045,146.4
Donnellson,Village,39.029352,-89.47410283367547,153,0.37,413.5
New Grand Chain,Village,37.2519964,-89.0211814,150,1.043,143.8
Maeystown,Village,38.224775,-90.233447,150,0.298,503.4
Concord,Village,39.8167136,-90.3729016,150,0.249,602.4
Coatsburg,Village,40.0328247,-91.1576405,150,0.132,1136.4
Hettick,Village,39.3550469,-90.037052,149,0.365,408.2
Eldred,Village,39.2875475,-90.5523438,149,0.134,1111.9
Campus,Village,41.0233656,-88.3061652,149,0.092,1619.6
Lima,Village,40.1775458,-91.378483,148,0.135,1096.3
Elvaston,Village,40.3950447,-91.2495909,147,0.799,184.0
Cantrall,Village,39.9378273,-89.6759372,144,0.25,576.0
Sauget,Village,38.590186,-90.1692755,141,4.581,30.8
Oconee,Village,39.2855984,-89.1075792,141,0.356,396.1
Berlin,Village,39.7589387,-89.9031635,141,0.891,158.2
West Point,Village,40.2550457,-91.1826419,140,0.168,833.3
Metcalf,Village,39.8011461,-87.8072504,139,0.594,234.0
Littleton,Village,40.2339337,-90.6223505,139,1.168,119.0
Browns,Village,38.3769927,-87.9830886,139,0.29,479.3
Redmon,Village,39.6453126,-87.8616975,137,0.145,944.8
Broadwell,Village,40.0680652,-89.4430855,136,0.18,755.6
Standard City,Village,39.3522723,-89.7875959,135,0.636,212.3
Dover,Village,41.4367021,-89.3934239,135,0.28,482.1
Papineau,Village,40.9691999,-87.7164241,133,0.208,639.4
Iroquois,Village,40.7351265,-87.8309209,133,0.567,234.6
Dorchester,Village,39.0856021,-89.8875995,133,0.722,184.2
Allenville,Village,39.5555892,-88.5297779,132,0.609,216.7
West Brooklyn,Village,41.6929334,-89.147012,131,0.085,1541.2
Symerton,Village,41.3281306,-88.0543799,128,0.157,815.3
Nelson,Village,41.7964208,-89.6017723,127,0.216,588.0
Ferris,Village,40.4689327,-91.1704225,127,1.967,64.6
Ridott,Village,42.2964089,-89.4753917,124,0.074,1675.7
Garrett,Village,39.7974677,-88.4251023,122,0.108,1129.6
Venedy,Village,38.3950492,-89.6459271,121,0.281,430.6
New Salem,Village,39.7075473,-90.8476304,121,1.049,115.3
Media,Village,40.7750395,-90.8320824,121,1.698,71.3
Leonore,Village,41.1894788,-88.9806354,121,0.089,1359.6
St. Augustine,Village,40.7183728,-90.4109616,119,0.593,200.7
Mound Station,Village,40.005789,-90.87377791340387,117,0.519,225.4
Browning,Village,40.1289355,-90.3720685,117,0.31,377.4
Brussels,Village,38.9494939,-90.5887314,116,0.558,207.9
Eagarville,Village,39.111808499999995,-89.78362503523654,114,0.911,125.1
Columbus,Village,39.9881027,-91.1468068,114,0.219,520.5
Old Shawneetown,Village,37.6993514,-88.1358878,113,0.51,221.6
Glasgow,Village,39.5506029,-90.4801247,113,1.011,111.8
Bishop Hill,Village,41.2017036,-90.1190054,113,0.532,212.4
Longview,Village,39.8867002,-88.0664274,112,0.247,453.4
Hidalgo,Village,39.1558732,-88.1469826,111,0.344,322.7
Harmon,Village,41.719479500000006,-89.55606178319069,111,0.149,745.0
Ohlman,Village,39.3450445,-89.2186951,109,0.322,338.5
Stoy,Village,38.9975424,-87.833085,108,0.932,115.9
Nora,Village,42.4558425,-89.9454009,107,0.83,128.9
Vernon,Village,38.8022697,-89.0870086,103,0.882,116.8
Pearl,Village,39.4597701,-90.6259588,103,1.505,68.4
Raritan,Village,40.6958732,-90.8273591,102,0.095,1073.7
Jeisyville,Village,39.5772711,-89.4050918,102,0.122,836.1
Tennessee,Village,40.4124541,-90.8368406,101,0.425,237.6
Strawn,Village,40.6525346,-88.3964427,101,0.51,198.0
Springerton,Village,38.1794917,-88.3542124,101,0.126,801.6
Marietta,Village,40.5011518,-90.3926259,101,0.273,370.0
Emington,Village,40.9697547,-88.3581096,101,0.083,1216.9
Naples,Town,39.7572686,-90.6073489,100,0.605,165.3
Pontoosuc,Village,40.6289307,-91.205425,99,1.406,70.4
Hamburg,Village,39.230048,-90.7176242,99,0.522,189.7
Eddyville,Village,37.4989389,-88.5878275,99,0.281,352.3
Russellville,Village,38.8189345,-87.5316882,98,0.4,245.0
Mount Erie,Village,38.515049,-88.2311536,98,0.384,255.2
La Rose,Village,40.9822568,-89.2353629,98,0.255,384.3
Iola,Village,38.8344904,-88.6281064,98,0.964,101.7
Wheeler,Village,39.0444253,-88.3176453,96,0.576,166.7
Lynnville,Village,39.686991,-90.3459561,96,0.077,1246.8
Fidelity,Village,39.1528243,-90.1645547,96,0.101,950.5
Walnut Hill,Village,38.4772714,-89.0434002,95,0.38,250.0
Liverpool,Village,40.3917076,-90.0009491,94,0.084,1119.0
Hillview,Village,39.4506034,-90.5412356,94,0.816,115.2
Scottville,Village,39.4803252,-90.1048343,93,0.997,93.3
Wilmington,Village,39.4794415,-90.4874557487872,91,0.786,115.8
Maunie,Village,38.0356015,-88.0455883,91,0.159,572.3
Kinsman,Village,41.1897554,-88.569512,90,0.068,1323.5
Sailor Springs,Village,38.7639362,-88.3631008,89,0.26,342.3
Rose Hill,Village,39.104433,-88.1498692285221,89,0.634,140.4
Belknap,Village,37.3250522,-88.9389557,88,1.057,83.3
Otterville,Town,39.0506032,-90.3984486,87,1.006,86.5
Exeter,Village,39.7205165,-90.4952926738212,87,0.69,126.1
Ellisville,Village,40.6267064,-90.3051249,87,0.271,321.0
Old Ripley,Village,38.8961577,-89.5700865,82,0.154,532.5
East Brooklyn,Village,41.1733654,-88.2639479,80,0.052,1538.5
Basco,Village,40.3278229,-91.2001437,80,0.222,360.4
Adeline,Village,42.1433589,-89.4903897,78,0.266,293.2
New Bedford,Village,41.5128119,-89.7206562,76,0.155,490.3
Detroit,Village,39.620712499999996,-90.67594020141291,76,0.251,302.8
Foosland,Village,40.3614224,-88.4281125,75,0.069,1087.0
Johnsonville,Village,38.521492699999996,-88.53797753905751,72,0.213,338.0
Irwin,Village,41.0531933,-87.9844595,68,0.045,1511.1
Yale,Village,39.120447,-88.0246246620161,67,0.575,116.5
Golden Gate,Village,38.3586537,-88.20435986394823,65,0.079,822.8
El Dara,Village,39.6227155,-90.9912253996729,63,1.011,62.3
Camden,Village,40.1536572,-90.7706859,62,0.761,81.5
Walshville,Village,39.069122,-89.61893098760513,61,0.257,237.4
Muddy,Village,37.7660765,-88.51232693576361,61,0.303,201.3
Topeka,Village,40.3303196,-89.9312252,60,0.137,438.0
Bingham,Village,39.1142114,-89.2134097,60,0.274,219.0
Mill Creek,Village,37.341171,-89.2534385967177,59,0.376,156.9
Junction,Village,37.72338,-88.2367046,56,0.826,67.8
Union Hill,Village,41.1075321,-88.1467188,55,0.046,1195.7
Ripley,Village,40.022826,-90.6387392,53,0.379,139.8
Keenes,Village,38.3402177,-88.64190060833609,50,0.13,384.6
Belle Prairie City,Town,38.221965,-88.55239928649357,49,0.438,111.9
Panola,Village,40.7836458,-89.0211857,47,0.429,109.6
Simpson,Village,37.46714995,-88.755732439828,44,0.525,83.8
La Prairie,Village,40.1478242,-91.002913,42,0.193,217.6
Gulfport,Village,40.813928,-91.0862558,42,1.412,29.7
Sciota,Village,40.5608731,-90.7517996,38,0.312,121.8
Deer Grove,Village,41.607811,-89.689547,38,0.411,92.5
Hollowayville,Village,41.3650354,-89.2970323,36,0.049,734.7
Burnt Prairie,Village,38.2506575,-88.25840315549895,36,0.076,473.7
Phillipstown,Village,38.1415595,-88.01811535423894,34,0.27,125.9
Wenonah,Village,39.3269901,-89.2889746,32,1.514,21.1
Rockwood,Village,37.8417715,-89.70272661688108,32,0.212,150.9
Macedonia,Village,38.05209845,-88.70534618222156,30,0.266,112.8
Bentley,Town,40.3444891,-91.1118074,30,0.143,209.8
Fults,Village,38.1642983,-90.21252301415791,28,0.053,528.3
Time,Village,39.5611535,-90.72341263148334,26,0.254,102.4
Kaskaskia,Village,37.9212636,-89.9162864,21,0.106,198.1
Florence,Village,39.627206,-90.61044106837332,17,0.276,61.6
Valley City,Village,39.707035000000005,-90.65144188584475,14,0.27,51.9
