name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
Edinburg,Village,39.6572697,-89.3895338,1085,0.625,1736.0
"Windsor, Shelby County, Illinois",City,39.4408693,-88.5947802,1079,0.63,1712.7
Stillman Valley,Village,42.1072475,-89.1792706,1075,0.57,1886.0
Cobden,Village,37.5314386,-89.253418,1074,1.219,881.1
Homer,Village,40.0347569,-87.9580892,1073,0.98,1094.9
Lovington,Village,39.71559,-88.6325641,1069,0.544,1965.1
Royalton,Village,37.8769946,-89.1145223,1068,1.115,957.8
Goreville,Village,37.5544953,-88.9722932,1068,2.686,397.6
Greenfield,City,39.3436577,-90.2126145,1059,1.714,617.9
Shawneetown,City,37.7167171,-88.1864144,1054,0.734,1436.0
Chebanse,Village,41.003088,-87.9080965,1044,1.19,877.3
Forrest,Village,40.7519792,-88.4111647,1041,0.648,1606.5
Thomasboro,Village,40.2417001,-88.1842134,1034,0.995,1039.2
Washburn,Village,40.9181579,-89.2912489,1032,0.72,1433.3
Lily Lake,Village,41.948916,-88.4778586,1032,2.717,379.8
Milledgeville,Village,41.9633615,-89.7745604,1026,0.69,1487.0
Payson,Village,39.8169907,-91.2423657,1025,1.17,876.1
Bannockburn,Village,42.1933581,-87.8664579,1013,2.028,499.5
Flanagan,Village,40.8780891,-88.8611818,1010,0.574,1759.6
Odell,Village,41.003643,-88.5253364,1003,1.077,931.3
Morrisonville,Village,39.4200501,-89.4556486,997,1.035,963.3
South Pekin,Village,40.4944838,-89.6517711,996,0.515,1934.0
Colfax,Village,40.5669788,-88.6164508,996,0.553,1801.1
Wayne City,Village,38.345326,-88.5878312,994,1.722,577.2
McCullom Lake,Village,42.3683543,-88.2925883,988,0.347,2847.3
Wamac,City,38.4968075,-89.14648072190121,985,1.405,701.1
Rosiclare,City,37.4236626,-88.3461483,980,1.939,505.4
Mazon,Village,41.2414217,-88.4195101,979,0.602,1626.2
Wenona,City,41.0525331,-89.0503587,974,0.736,1323.4
Energy,Village,37.7740055,-89.0266269,974,1.194,815.7
Newark,Village,41.5388542,-88.5852333,973,1.124,865.7
Ashton,Village,41.8661417,-89.2212088,967,0.67,1443.3
